posx,w,amount,posx1,posx2,center_to_center,edge_to_edge,eccentricity,setsize_cobdi,first.thisRepN,first.thisTrialN,first.thisN,first.thisIndex,second.thisRepN,second.thisTrialN,second.thisN,second.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,starting_width_deg,response_width_degree,response_width_pixel,adjusting.started,adjusting.stopped,next.keys,next.rt,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,age,gender,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,11.730453099822626,None,c,17.43832359998487,,,,,,,,,,,,,,,,,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
10,0.1,,,,,,,,0,0,0,0,,,,,,,,,0.3,0.10000000000000002,3.39604,31.139263299992308,None,return,3.661222399910912,,,,,,,,,,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
10,0.25,,,,,,,,0,1,1,1,,,,,,,,,0.2,0.2,6.79209,35.97265059989877,None,return,1.6756955001037568,,,,,,,,,,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
10,0.4,,,,,,,,0,2,2,2,,,,,,,,,0.35,0.35,11.88616,39.57263039983809,None,return,1.0356256000231951,,,,,,,,,,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
10,0.1,,,,,,,,1,0,3,0,,,,,,,,,0.25,1.3877787807814457e-17,0.0,42.789315699832514,None,return,3.450831899885088,,,,,,,,,,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
10,0.25,,,,,,,,1,1,4,1,,,,,,,,,0.3,0.3,10.18813,48.40596509980969,None,return,1.130430500023067,,,,,,,,,,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
10,0.4,,,,,,,,1,2,5,2,,,,,,,,,0.4,0.25000000000000006,8.49011,51.705939299892634,None,return,2.6304717999882996,,,,,,,,,,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
10,0.4,,,,,,,,2,0,6,2,,,,,,,,,0.3,0.39999999999999997,13.58418,55.50595979997888,None,return,1.6624531999696046,,,,,,,,,,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
10,0.1,,,,,,,,2,1,7,0,,,,,,,,,0.15,0.09999999999999999,3.39604,58.589296999853104,None,return,2.73905219999142,,,,,,,,,,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
10,0.25,,,,,,,,2,2,8,1,,,,,,,,,0.45,0.15000000000000008,5.09407,62.50594709999859,None,return,2.5984501000493765,,,,,,,,,,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
10,0.4,,,,,,,,3,0,9,2,,,,,,,,,0.15,0.44999999999999996,15.2822,66.52261879993603,None,return,2.4216613001190126,,,,,,,,,,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
10,0.1,,,,,,,,3,1,10,0,,,,,,,,,0.2,0.05000000000000002,1.69802,70.62209720001556,None,return,2.40212590014562,,,,,,,,,,1,21,male,2023_Aug_13_1830,control,2021.2.3,60.11826465492261,
